mut.cls1	dn.cls1	trans.cls1	ntrans.cls1	case.cls1	ctrl.cls1	mut.cls2	dn.cls2	trans.cls2	ntrans.cls2	case.cls2	ctrl.cls2
2.1585e-06	1.0	1.0	0.0	1.0	0.0	7.97539550162e-06	1.0	1.0	0.0	0.0	0.0
2.5965e-07	0.0	4.0	1.0	1.0	0.0	1.96894503378e-05	1.0	2.0	0.0	0.0	1.0
1.09275e-06	0.0	4.0	0.0	2.0	0.0	6.49378916159e-06	2.0	1.0	1.0	0.0	0.0
6.66e-07	1.0	6.0	0.0	2.0	0.0	1.15738126446e-05	1.0	2.0	0.0	1.0	0.0
1.503e-06	2.0	4.0	0.0	0.0	0.0	4.84874668333e-05	4.0	4.0	0.0	1.0	1.0
3.6375e-06	1.0	3.0	0.0	1.0	0.0	3.05223611306e-06	0.0	5.0	0.0	0.0	0.0
1.11375e-06	0.0	5.0	0.0	0.0	1.0	2.00533351401e-06	0.0	3.0	1.0	2.0	0.0
2.2245e-07	0.0	2.0	1.0	0.0	0.0	1.140342399e-06	0.0	2.0	0.0	0.0	0.0
1.731e-06	0.0	2.0	0.0	3.0	0.0	1.33284300429e-05	1.0	5.0	1.0	0.0	0.0
1.59375e-06	0.0	3.0	0.0	1.0	0.0	1.35040236127e-05	1.0	1.0	0.0	0.0	0.0
1.85325e-06	1.0	3.0	0.0	0.0	0.0	5.8441044672e-06	2.0	1.0	1.0	0.0	0.0
1.725e-06	0.0	1.0	0.0	1.0	0.0	9.76144624954e-06	2.0	4.0	0.0	0.0	0.0
7.47e-07	0.0	2.0	1.0	0.0	0.0	4.21823840891e-05	2.0	1.0	1.0	0.0	2.0
1.48725e-06	0.0	3.0	0.0	1.0	0.0	1.18326763178e-05	1.0	3.0	0.0	2.0	0.0
1.35975e-06	0.0	6.0	0.0	2.0	0.0	1.26100308438e-05	0.0	5.0	0.0	0.0	0.0
3.0825e-06	0.0	4.0	1.0	0.0	0.0	7.71339695043e-06	0.0	7.0	0.0	0.0	0.0
1.704e-07	0.0	2.0	0.0	0.0	0.0	3.73489300272e-05	6.0	4.0	0.0	0.0	1.0
