uniprot_accession,gene_name
A0A0C5B5G6,MT-RNR1
A0A1B0GTW7,CIROP
A0JNW5,BLTP3B
A0JP26,POTEB3
A0PK11,CLRN2
A1A4S6,ARHGAP10
A1A519,FAM170A
A1L190,SYCE3
A1L3X0,ELOVL7
A1X283,SH3PXD2B
A2A2Y4,FRMD3
A2RU14,TMEM218
A2RUB6,CCDC66
A2RUC4,TYW5
A4D1B5,GSAP
A4GXA9,EME2
A5D8V7,ODAD3
A5PLL7,PEDS1
A6BM72,MEGF11
A6H8Y1,BDP1
A6NCS4,NKX2-6
A6NFY7,SDHAF1
A6NGG8,PCARE
A6NI61,MYMK
A6NKB5,PCNX2
A6NNB3,IFITM5
A7E2V4,ZSWIM8
A7MCY6,TBKBP1
A7MD48,SRRM4
A7XYQ1,SOBP
A8MQ03,CYSRT1
A8MW99,MEI4
A9UHW6,MIF4GD
B1AK53,ESPN
B2RUY7,VWC2L
B3KU38,IQCJ-SCHIP1
B6A8C7,TARM1
B7U540,KCNJ18
C9JLW8,MCRIP1
C9JRZ8,AKR1B15
D3W0D1,KLRF2
E0CX11,STMP1
O00115,DNASE2
O00116,AGPS
O00159,MYO1C
O00161,SNAP23
O00165,HAX1
O00168,FXYD1
O00214,LGALS8
O00237,RNF103
O00254,F2RL2
O00268,TAF4
O00291,HIP1
O00300,TNFRSF11B
O00322,UPK1A
O00329,PIK3CD
O00330,PDHX
O00337,SLC28A1
O00400,SLC33A1
O00409,FOXN3
O00422,SAP18
O00444,PLK4
O00453,LST1
O00462,MANBA
O00478,BTN3A3
O00487,PSMD14
O00505,KPNA3
O00506,STK25
O00507,USP9Y
O00560,SDCBP
O00591,GABRP
O00622,CCN1
O00624,SLC17A2
O00635,TRIM38
O00712,NFIB
O00746,NME4
O00748,CES2
O00762,UBE2C
O14497,ARID1A
O14503,BHLHE40
O14508,SOCS2
O14519,CDK2AP1
O14524,NEMP1
O14524-2,NEMP1
O14561,NDUFAB1
O14613,CDC42EP2
O14618,CCS
O14628,ZNF195
O14638,ENPP3
O14640,DVL1
O14654,IRS4
O14657,TOR1B
O14744,PRMT5
O14756,HSD17B6
O14757,CHEK1
O14763,TNFRSF10B
O14788,TNFSF11
O14804,TAAR5
O14813,PHOX2A
O14843,FFAR3
O14907,TAX1BP3
O14908,GIPC1
O14910,LIN7A
O14925,TIMM23
O14926,FSCN2
O14933,UBE2L6
O14939,PLD2
O14949,UQCRQ
O14958,CASQ2
O14960,LECT2
O14967,CLGN
O14975,SLC27A2
O14979,HNRNPDL
O14994,SYN3
O15067,PFAS
O15078,CEP290
O15111,CHUK
O15116,LSM1
O15119,TBX3
O15120,AGPAT2
O15127,SCAMP2
O15156,ZBTB7B
O15162,PLSCR1
O15169,AXIN1
O15230,LAMA5
O15232,MATN3
O15245,SLC22A1
O15247,CLIC2
O15259,NPHP1
O15260,SURF4
O15263,DEFB4A
O15263,DEFB4B
O15265,ATXN7
O15266,SHOX
O15269,SPTLC1
O15297,PPM1D
O15318,POLR3G
O15381-5,NVL
O15389,SIGLEC5
O15399,GRIN2D
O15400,STX7
O15446,POLR1G
O15484,CAPN5
O15488,GYG2
O15511,ARPC5
O15520,FGF10
O15533,TAPBP
O15540,FABP7
O15541,RNF113A
O15551,CLDN3
O15554,KCNN4
O42043,ERVK-18
O43143,DHX15
O43155,FLRT2
O43166,SIPA1L1
O43172,PRPF4
O43181,NDUFS4
O43196,MSH5
O43236-6,SEPTIN4
O43237,DYNC1LI2
O43264,ZW10
O43294,TGFB1I1
O43310,CTIF
O43323,DHH
O43395,PRPF3
O43439,CBFA2T2
O43464,HTRA2
O43474,KLF4
O43497-10,CACNA1G
O43497-11,CACNA1G
O43497-16,CACNA1G
O43497-23,CACNA1G
O43497-28,CACNA1G
O43497-30,CACNA1G
O43497-7,CACNA1G
O43497-9,CACNA1G
O43521,BCL2L11
O43521-2,BCL2L11
O43525,KCNQ3
O43526,KCNQ2
O43529,CHST10
O43543,XRCC2
O43548,TGM5
O43556,SGCE
O43566,RGS14
O43581,SYT7
O43593,HR
O43598,DNPH1
O43603,GALR2
O43609,SPRY1
O43715,TRIAP1
O43719,HTATSF1
O43761,SYNGR3
O43763,TLX2
O43808,SLC25A17
O43818,RRP9
O43823,AKAP8
O43825,B3GALT2
O43826,SLC37A4
O43827,ANGPTL7
O43854,EDIL3
O43865,AHCYL1
O43866,CD5L
O43868,SLC28A2
O43897,TLL1
O43903,GAS2
O43913,ORC5
O43914,TYROBP
O60235,TMPRSS11D
O60264,SMARCA5
O60266,ADCY3
O60281,ZNF292
O60284,ST18
O60307,MAST3
O60315,ZEB2
O60381,HBP1
O60393,NOBOX
O60449,LY75
O60469,DSCAM
O60481,ZIC3
O60502,OGA
O60519,CREBL2
O60548,FOXD2
O60568,PLOD3
O60635,TSPAN1
O60636,TSPAN2
O60667,FCMR
O60678,PRMT3
O60682,MSC
O60687,SRPX2
O60706,ABCC9
O60716-13,CTNND1
O60716-14,CTNND1
O60716-18,CTNND1
O60716-19,CTNND1
O60716-20,CTNND1
O60716-21,CTNND1
O60716-26,CTNND1
O60716-27,CTNND1
O60716-29,CTNND1
O60716-9,CTNND1
O60729,CDC14B
O60741,HCN1
O60759,CYTIP
O60784,TOM1
O60814,H2BC12
O60831,PRAF2
O60879,DIAPH2
O60882,MMP20
O60884,DNAJA2
O60909,B4GALT2
O60921,HUS1
O60930,RNASEH1
O60938,KERA
O60939,SCN2B
O60941,DTNB
O60941-5,DTNB
O60942,RNGTT
O75019,LILRA1
O75022,LILRB3
O75072,FKTN
O75077,ADAM23
O75132,ZBED4
O75151,PHF2
O75159,SOCS5
O75175,CNOT3
O75177,SS18L1
O75190,DNAJB6
O75191,XYLB
O75309,CDH16
O75319,DUSP11
O75334,PPFIA2
O75339,CILP
O75344,FKBP6
O75365,PTP4A3
O75367,MACROH2A1
O75369,FLNB
O75376,NCOR1
O75379,VAMP4
O75390,CS
O75396,SEC22B
O75438,NDUFB1
O75443,TECTA
O75449,KATNA1
O75469,NR1I2
O75475,PSIP1
O75486,SUPT3H
O75503,CLN5
O75554,WBP4
O75558,STX11
O75564,JRK
O75564-2,JRK
O75594,PGLYRP1
O75610,LEFTY1
O75618,DEDD
O75628,REM1
O75629,CREG1
O75638,CTAG2
O75648,TRMU
O75674,TOM1L1
O75679,RFPL3
O75752,B3GALNT1
O75762,TRPA1
O75781,PALM
O75807,PPP1R15A
O75815,BCAR3
O75821,EIF3G
O75828,CBR3
O75838,CIB2
O75864,PPP1R37
O75879,GATB
O75882,ATRN
O75884,RBBP9
O75897,SULT1C4
O75928,PIAS2
O75935,DCTN3
O75952,CABYR
O75956,CDK2AP2
O75969,AKAP3
O76027,ANXA9
O76039,CDKL5
O76074,PDE5A
O76075,DFFB
O76081-6,RGS20
O76093,FGF18
O77932,DXO
O94762,RECQL5
O94768,STK17B
O94805,ACTL6B
O94808,GFPT2
O94810,RGS11
O94818,NOL4
O94876,TMCC1
O94898,LRIG2
O94901,SUN1
O94923,GLCE
O94964,SOGA1
O94983,CAMTA2
O94985,CLSTN1
O94993,SOX30
O95047,OR2A4
O95049,TJP3
O95125,ZNF202
O95139,NDUFB6
O95153,TSPOAP1
O95154,AKR7A3
O95155,UBE4B
O95169,NDUFB8
O95208,EPN2
O95237,LRAT
O95248,SBF1
O95274,LYPD3
O95294,RASAL1
O95298,NDUFC2
O95342,ABCB11
O95343,SIX3
O95352,ATG7
O95361,TRIM16
O95373,IPO7
O95393,BMP10
O95394,PGM3
O95415,BRI3
O95427,PIGN
O95429,BAG4
O95447,LCA5L
O95466,FMNL1
O95470,SGPL1
O95479,H6PD
O95497,VNN1
O95528,SLC2A10
O95544,NADK
O95571,ETHE1
O95622,ADCY5
O95630,STAMBP
O95670,ATP6V1G2
O95674,CDS2
O95714,HERC2
O95741,CPNE6
O95750,FGF19
O95758,PTBP3
O95777,LSM8
O95782,AP2A1
O95793,STAU1
O95807,TMEM50A
O95835,LATS1
O95843,GUCA1C
O95876,WDPCP
O95881,TXNDC12
O95886,DLGAP3
O95905,ECD
O95907,SLC16A8
O95944,NCR2
O95977,S1PR4
O95990,FAM107A
O95996,APC2
O96000,NDUFB10
O96004,HAND1
O96005,CLPTM1
P00338,LDHA
P00374,DHFR
P00480,OTC
P00505,GOT2
P00519,ABL1
P00846,MT-ATP6
P01011,SERPINA3
P01185,AVP
P01270,PTH
P01275,GCG
P01308,INS
P01571,IFNA17
P01579,IFNG
P01597,IGKV1-39
P01615,IGKV2D-28
P01732,CD8A
P01764,IGHV3-23
P01877,IGHA2
P01909,HLA-DQA1
P02452,COL1A1
P02511,CRYAB
P02538,KRT6A
P02649,APOE
P02679,FGG
P02743,APCS
P02745,C1QA
P02747,C1QC
P02748,C9
P02771,AFP
P02774,GC
P02776,PF4
P02786,TFRC
P02812,PRB2
P03915,MT-ND5
P03951,F11
P03956,MMP1
P03999,OPN1SW
P04062,GBA1
P04080,CSTB
P04090,RLN2
P04155,TFF1
P04179,SOD2
P04180,LCAT
P04198,MYCN
P04201,MAS1
P04275,VWF
P04406,GAPDH
P04626,ERBB2
P04731,MT1A
P04844,RPN2
P05106,ITGB3
P05177,CYP1A2
P05204,HMGN2
P05362,ICAM1
P05386,RPLP1
P05451,REG1A
P05452,CLEC3B
P05787,KRT8
P05813,CRYBA1
P05814,CSN2
P05976,MYL1
P05997,COL5A2
P06028,GYPB
P06126,CD1A
P06454,PTMA
P06734,FCER2
P06756,ITGAV
P06865,HEXA
P06899,H2BC11
P07197,NEFM
P07305,H1-0
P07359,GP1BA
P07384,CAPN1
P07438,MT1B
P07492,GRP
P07510,CHRNG
P07737,PFN1
P07902,GALT
P07910,HNRNPC
P07942,LAMB1
P07998,RNASE1
P08172,CHRM2
P08253,MMP2
P08519,LPA
P08572,COL4A2
P08620,FGF4
P08621,SNRNP70
P08637,FCGR3A
P08648,ITGA5
P08670,VIM
P08700,IL3
P08865,RPSA
P08887,IL6R
P08922,ROS1
P09017,HOXC4
P09038,FGF2
P09086,POU2F2
P09466,PAEP
P09467,FBP1
P09493,TPM1
P09496,CLTA
P09525,ANXA4
P09543,CNP
P09544,WNT2
P09603,CSF1
P09668,CTSH
P09683,SCT
P09758,TACSTD2
P09769,FGR
P09848,LCT
P09874,PARP1
P09884,POLA1
P09912,IFI6
P09914,IFIT1
P09936,UCHL1
P0C024,NUDT7
P0C0S8,H2AC11
P0C0S8,H2AC13
P0C0S8,H2AC15
P0C0S8,H2AC16
P0C0S8,H2AC17
P0C5Z0,H2AB2
P0C5Z0,H2AB3
P0C7P0,CISD3
P0C870,JMJD7
P0CAP2,POLR2M
P0CG20,PRR35
P0DI81,TRAPPC2
P0DI82,TRAPPC2B
P0DI83,RAB34
P0DMS8,ADORA3
P0DP58,LYNX1
P0DPB6,POLR1D
P0DPH7,TUBA3C
P0DPK4,NOTCH2NLC
P0DTE4,UGT2A1
P10153,RNASE2
P10176,COX8A
P10276,RARA
P10523,SAG
P10619,CTSA
P10620,MGST1
P10632,CYP2C8
P10635,CYP2D6
P10645,CHGA
P10646,TFPI
P10721,KIT
P10767,FGF6
P10909,CLU
P10911,MCF2
P10916,MYL2
P11055,MYH3
P11137,MAP2
P11233,RALA
P11308,ERG
P11362-19,FGFR1
P11362-2,FGFR1
P11362-20,FGFR1
P11362-5,FGFR1
